"learncodecoursescert_array","total_pct","professional_pct","learningtocode_pct","other_pct"
"Other",0.2107,0.1990,0.3208,0.2592
"Skillsoft",0.0203,0.0191,0.0281,0.0304
"Udacity",0.1077,0.1104,0.0824,0.0962
"Codecademy",0.2431,0.2327,0.3134,0.3225
"Coursera",0.3462,0.3509,0.3337,0.2866
"Pluralsight",0.2283,0.2476,0.0472,0.1461
"edX",0.1493,0.1429,0.2088,0.1770
"Udemy",0.6553,0.6706,0.5625,0.5254
